Type,Name,URL,CRC,Size
DIRECTORY,Texas Instruments,,,
DIRECTORY,TI-99 4A,,,
DIRECTORY,Catalogs,,,
DIRECTORY,Texas Instruments TI-99 4A - Catalogs,,,
FILE,Texas Instruments TI-99 4A - Catalogs (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Catalogs/Texas Instruments TI-99 4A - Catalogs/Texas Instruments TI-99 4A - Catalogs (TOSEC-v2022-12-21_CM).dat,4123442776,2865
DIRECTORY,Books,,,
DIRECTORY,Texas Instruments TI-99 4A - Books,,,
FILE,Texas Instruments TI-99 4A - Books (TOSEC-v2011-03-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Books/Texas Instruments TI-99 4A - Books/Texas Instruments TI-99 4A - Books (TOSEC-v2011-03-20_CM).dat,1696322264,3660
DIRECTORY,Manuals,,,
DIRECTORY,Applications,,,
DIRECTORY,Texas Instruments TI-99 4A - Manuals - Applications,,,
FILE,Texas Instruments TI-99 4A - Manuals - Applications (TOSEC-v2011-03-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Applications/Texas Instruments TI-99 4A - Manuals - Applications/Texas Instruments TI-99 4A - Manuals - Applications (TOSEC-v2011-03-20_CM).dat,218497674,2265
DIRECTORY,Hardware,,,
DIRECTORY,Texas Instruments TI-99 4A - Manuals - Hardware,,,
FILE,Texas Instruments TI-99 4A - Manuals - Hardware (TOSEC-v2011-03-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Hardware/Texas Instruments TI-99 4A - Manuals - Hardware/Texas Instruments TI-99 4A - Manuals - Hardware (TOSEC-v2011-03-20_CM).dat,363560802,3323
DIRECTORY,Games,,,
DIRECTORY,Texas Instruments TI-99 4A - Manuals - Games,,,
FILE,Texas Instruments TI-99 4A - Manuals - Games (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Games/Texas Instruments TI-99 4A - Manuals - Games/Texas Instruments TI-99 4A - Manuals - Games (TOSEC-v2022-12-21_CM).dat,765362683,30556
DIRECTORY,Magazines,,,
DIRECTORY,99er (US),,,
DIRECTORY,Texas Instruments TI-99 4A - Magazines - 99er (US),,,
FILE,Texas Instruments TI-99 4A - Magazines - 99er (US) (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-99 4A/Magazines/99er (US)/Texas Instruments TI-99 4A - Magazines - 99er (US)/Texas Instruments TI-99 4A - Magazines - 99er (US) (TOSEC-v2022-12-21_CM).dat,3602406564,6533
DIRECTORY,TI-73,,,
DIRECTORY,Manuals,,,
DIRECTORY,Applications,,,
DIRECTORY,Texas Instruments TI-73 - Manuals - Applications,,,
FILE,Texas Instruments TI-73 - Manuals - Applications (TOSEC-v2011-02-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-73/Manuals/Applications/Texas Instruments TI-73 - Manuals - Applications/Texas Instruments TI-73 - Manuals - Applications (TOSEC-v2011-02-05_CM).dat,3306091843,7341
DIRECTORY,Games,,,
DIRECTORY,Texas Instruments TI-73 - Manuals - Games,,,
FILE,Texas Instruments TI-73 - Manuals - Games (TOSEC-v2011-02-05_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/TI-73/Manuals/Games/Texas Instruments TI-73 - Manuals - Games/Texas Instruments TI-73 - Manuals - Games (TOSEC-v2011-02-05_CM).dat,328696343,1222
DIRECTORY,Speak & Spell,,,
DIRECTORY,Manuals,,,
DIRECTORY,Games,,,
DIRECTORY,Texas Instruments Speak & Spell - Manuals - Games,,,
FILE,Texas Instruments Speak & Spell - Manuals - Games (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Texas Instruments/Speak & Spell/Manuals/Games/Texas Instruments Speak & Spell - Manuals - Games/Texas Instruments Speak & Spell - Manuals - Games (TOSEC-v2022-12-21_CM).dat,618824573,898
DIRECTORY,Bit Corporation,,,
DIRECTORY,Gamate,,,
DIRECTORY,Manuals,,,
DIRECTORY,Hardware,,,
DIRECTORY,Bit Corporation Gamate - Manuals - Hardware,,,
FILE,Bit Corporation Gamate - Manuals - Hardware (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC-PIX/Bit Corporation/Gamate/Manuals/Hardware/Bit Corporation Gamate - Manuals - Hardware/Bit Corporation Gamate - Manuals - Hardware (TOSEC-v2022-12-21_CM).dat,3669387266,832
DIRECTORY,Games,,,
DIRECTORY,Bit Corporation Gamate - Manuals - Games,,,
