Type,Name,URL,CRC,Size
DIRECTORY,Texas Instruments,,,
DIRECTORY,TI-99 4A,,,
DIRECTORY,Catalogs,,,
FILE,Texas Instruments TI-99 4A - Catalogs.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Catalogs/Texas Instruments TI-99 4A - Catalogs.dat,4123442776,2865
DIRECTORY,Books,,,
FILE,Texas Instruments TI-99 4A - Books.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Books/Texas Instruments TI-99 4A - Books.dat,1696322264,3660
DIRECTORY,Manuals,,,
DIRECTORY,Applications,,,
FILE,Texas Instruments TI-99 4A - Manuals - Applications.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Applications/Texas Instruments TI-99 4A - Manuals - Applications.dat,218497674,2265
DIRECTORY,Hardware,,,
FILE,Texas Instruments TI-99 4A - Manuals - Hardware.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Hardware/Texas Instruments TI-99 4A - Manuals - Hardware.dat,363560802,3323
DIRECTORY,Games,,,
FILE,Texas Instruments TI-99 4A - Manuals - Games.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Manuals/Games/Texas Instruments TI-99 4A - Manuals - Games.dat,765362683,30556
DIRECTORY,Magazines,,,
DIRECTORY,99er (US),,,
FILE,Texas Instruments TI-99 4A - Magazines - 99er (US).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-99 4A/Magazines/99er (US)/Texas Instruments TI-99 4A - Magazines - 99er (US).dat,3602406564,6533
DIRECTORY,TI-73,,,
DIRECTORY,Manuals,,,
DIRECTORY,Applications,,,
FILE,Texas Instruments TI-73 - Manuals - Applications.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-73/Manuals/Applications/Texas Instruments TI-73 - Manuals - Applications.dat,3306091843,7341
DIRECTORY,Games,,,
FILE,Texas Instruments TI-73 - Manuals - Games.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/TI-73/Manuals/Games/Texas Instruments TI-73 - Manuals - Games.dat,328696343,1222
DIRECTORY,Speak & Spell,,,
DIRECTORY,Manuals,,,
DIRECTORY,Games,,,
FILE,Texas Instruments Speak & Spell - Manuals - Games.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Texas Instruments/Speak & Spell/Manuals/Games/Texas Instruments Speak & Spell - Manuals - Games.dat,618824573,898
DIRECTORY,Bit Corporation,,,
DIRECTORY,Gamate,,,
DIRECTORY,Manuals,,,
DIRECTORY,Hardware,,,
FILE,Bit Corporation Gamate - Manuals - Hardware.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Bit Corporation/Gamate/Manuals/Hardware/Bit Corporation Gamate - Manuals - Hardware.dat,3669387266,832
DIRECTORY,Games,,,
FILE,Bit Corporation Gamate - Manuals - Games.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/Bit Corporation/Gamate/Manuals/Games/Bit Corporation Gamate - Manuals - Games.dat,3412172339,3474
DIRECTORY,3DO,,,
DIRECTORY,3DO Interactive Multiplayer,,,
DIRECTORY,Catalogs,,,
FILE,3DO 3DO Interactive Multiplayer - Catalogs.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/3DO/3DO Interactive Multiplayer/Catalogs/3DO 3DO Interactive Multiplayer - Catalogs.dat,2039050030,1840
DIRECTORY,Manuals,,,
DIRECTORY,Applications,,,
FILE,3DO 3DO Interactive Multiplayer - Manuals - Applications.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/3DO/3DO Interactive Multiplayer/Manuals/Applications/3DO 3DO Interactive Multiplayer - Manuals - Applications.dat,179564821,901
DIRECTORY,Hardware,,,
FILE,3DO 3DO Interactive Multiplayer - Manuals - Hardware.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/3DO/3DO Interactive Multiplayer/Manuals/Hardware/3DO 3DO Interactive Multiplayer - Manuals - Hardware.dat,813991113,2413
DIRECTORY,Samplers,,,
FILE,3DO 3DO Interactive Multiplayer - Manuals - Samplers.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/basic/TOSEC-PIX/3DO/3DO Interactive Multiplayer/Manuals/Samplers/3DO 3DO Interactive Multiplayer - Manuals - Samplers.dat,2111032496,2559
DIRECTORY,Multimedia,,,
